colour	x	y	fill
#356E9D	1	0.59	#356E9D
#356E9D	1	0.6	#356E9D
#356E9D	1	0.56	#356E9D
#356E9D	1	0.55	#356E9D
#356E9D	1	0.6	#356E9D
#356E9D	1	0.59	#356E9D
#356E9D	1	0.6	#356E9D
#356E9D	1	0.58	#356E9D
#356E9D	1	0.59	#356E9D
#356E9D	1	0.59	#356E9D
#356E9D	1	0.54	#356E9D
#356E9D	1	0.55	#356E9D
#356E9D	2	0.22	#356E9D
#356E9D	2	0.22	#356E9D
#356E9D	2	0.22	#356E9D
#356E9D	2	0.23	#356E9D
#356E9D	2	0.26	#356E9D
#356E9D	2	0.29	#356E9D
#356E9D	2	0.29	#356E9D
#356E9D	2	0.3	#356E9D
#356E9D	2	0.34	#356E9D
#356E9D	2	0.34	#356E9D
#356E9D	2	0.33	#356E9D
#356E9D	2	0.35	#356E9D
#356E9D	4	8.12	#356E9D
#356E9D	4	8.13	#356E9D
#356E9D	4	8.1	#356E9D
#356E9D	4	8.08	#356E9D
#356E9D	4	7.95	#356E9D
#356E9D	4	7.88	#356E9D
#356E9D	4	7.83	#356E9D
#356E9D	4	7.79	#356E9D
#356E9D	4	7.83	#356E9D
#356E9D	4	7.94	#356E9D
#356E9D	4	8	#356E9D
#356E9D	4	7.99	#356E9D
#356E9D	3	9.7	#356E9D
#356E9D	3	9.6	#356E9D
#356E9D	3	9.62	#356E9D
#356E9D	3	9.66	#356E9D
#356E9D	3	9.67	#356E9D
#356E9D	3	9.68	#356E9D
#356E9D	3	9.65	#356E9D
#356E9D	3	9.59	#356E9D
#356E9D	3	9.56	#356E9D
#356E9D	3	9.55	#356E9D
#356E9D	3	9.47	#356E9D
#356E9D	3	9.24	#356E9D
#356E9D	5	0.33	#356E9D
#356E9D	5	0.36	#356E9D
#356E9D	5	0.36	#356E9D
#356E9D	5	0.36	#356E9D
#356E9D	5	0.38	#356E9D
#356E9D	5	0.36	#356E9D
#356E9D	5	0.35	#356E9D
#356E9D	5	0.32	#356E9D
#356E9D	5	0.33	#356E9D
#356E9D	5	0.3	#356E9D
#356E9D	5	0.29	#356E9D
#356E9D	5	0.33	#356E9D
#356E9D	6	0.12	#356E9D
#356E9D	6	0.16	#356E9D
#356E9D	6	0.14	#356E9D
#356E9D	6	0.15	#356E9D
#356E9D	6	0.18	#356E9D
#356E9D	6	0.19	#356E9D
#356E9D	6	0.17	#356E9D
#356E9D	6	0.15	#356E9D
#356E9D	6	0.18	#356E9D
#356E9D	6	0.19	#356E9D
#356E9D	6	0.17	#356E9D
#356E9D	6	0.16	#356E9D
#356E9D	7	0.68	#356E9D
#356E9D	7	0.69	#356E9D
#356E9D	7	0.68	#356E9D
#356E9D	7	0.68	#356E9D
#356E9D	7	0.74	#356E9D
#356E9D	7	0.72	#356E9D
#356E9D	7	0.7	#356E9D
#356E9D	7	0.66	#356E9D
#356E9D	7	0.65	#356E9D
#356E9D	7	0.63	#356E9D
#356E9D	7	0.57	#356E9D
#356E9D	7	0.59	#356E9D
#356E9D	8	0.08	#356E9D
#356E9D	8	0.1	#356E9D
#356E9D	8	0.1	#356E9D
#356E9D	8	0.11	#356E9D
#356E9D	8	0.16	#356E9D
#356E9D	8	0.17	#356E9D
#356E9D	8	0.18	#356E9D
#356E9D	8	0.16	#356E9D
#356E9D	8	0.2	#356E9D
#356E9D	8	0.21	#356E9D
#356E9D	8	0.19	#356E9D
#356E9D	8	0.21	#356E9D
#356E9D	9	0.39	#356E9D
#356E9D	9	0.42	#356E9D
#356E9D	9	0.44	#356E9D
#356E9D	9	0.44	#356E9D
#356E9D	9	0.47	#356E9D
#356E9D	9	0.44	#356E9D
#356E9D	9	0.43	#356E9D
#356E9D	9	0.43	#356E9D
#356E9D	9	0.45	#356E9D
#356E9D	9	0.44	#356E9D
#356E9D	9	0.42	#356E9D
#356E9D	9	0.44	#356E9D
#356E9D	10	0.28	#356E9D
#356E9D	10	0.35	#356E9D
#356E9D	10	0.33	#356E9D
#356E9D	10	0.35	#356E9D
#356E9D	10	0.39	#356E9D
#356E9D	10	0.39	#356E9D
#356E9D	10	0.38	#356E9D
#356E9D	10	0.34	#356E9D
#356E9D	10	0.35	#356E9D
#356E9D	10	0.33	#356E9D
#356E9D	10	0.3	#356E9D
#356E9D	10	0.31	#356E9D
#356E9D	11	26.18	#356E9D
#356E9D	11	26.08	#356E9D
#356E9D	11	25.82	#356E9D
#356E9D	11	26.13	#356E9D
#356E9D	11	25.82	#356E9D
#356E9D	11	25.92	#356E9D
#356E9D	11	25.98	#356E9D
#356E9D	11	26.18	#356E9D
#356E9D	11	26.07	#356E9D
#356E9D	11	25.88	#356E9D
#356E9D	11	25.89	#356E9D
#356E9D	11	25.66	#356E9D
#356E9D	12	7.34	#356E9D
#356E9D	12	7.34	#356E9D
#356E9D	12	7.58	#356E9D
#356E9D	12	7.67	#356E9D
#356E9D	12	7.76	#356E9D
#356E9D	12	7.77	#356E9D
#356E9D	12	7.75	#356E9D
#356E9D	12	7.6	#356E9D
#356E9D	12	7.49	#356E9D
#356E9D	12	7.41	#356E9D
#356E9D	12	7.32	#356E9D
#356E9D	12	7.29	#356E9D
#356E9D	13	0.15	#356E9D
#356E9D	13	0.18	#356E9D
#356E9D	13	0.17	#356E9D
#356E9D	13	0.17	#356E9D
#356E9D	13	0.2	#356E9D
#356E9D	13	0.18	#356E9D
#356E9D	13	0.18	#356E9D
#356E9D	13	0.17	#356E9D
#356E9D	13	0.2	#356E9D
#356E9D	13	0.21	#356E9D
#356E9D	13	0.2	#356E9D
#356E9D	13	0.2	#356E9D
#356E9D	14	0.01	#356E9D
#356E9D	14	0.01	#356E9D
#356E9D	14	0.01	#356E9D
#356E9D	14	0.01	#356E9D
#356E9D	14	0.01	#356E9D
#356E9D	14	0.01	#356E9D
#356E9D	14	0	#356E9D
#356E9D	14	0	#356E9D
#356E9D	14	0	#356E9D
#356E9D	14	0	#356E9D
#356E9D	14	0	#356E9D
#356E9D	14	0	#356E9D
#356E9D	15	0.56	#356E9D
#356E9D	15	0.61	#356E9D
#356E9D	15	0.57	#356E9D
#356E9D	15	0.58	#356E9D
#356E9D	15	0.64	#356E9D
#356E9D	15	0.63	#356E9D
#356E9D	15	0.64	#356E9D
#356E9D	15	0.61	#356E9D
#356E9D	15	0.61	#356E9D
#356E9D	15	0.58	#356E9D
#356E9D	15	0.52	#356E9D
#356E9D	15	0.52	#356E9D
#356E9D	16	3.03	#356E9D
#356E9D	16	3.05	#356E9D
#356E9D	16	3.12	#356E9D
#356E9D	16	3.07	#356E9D
#356E9D	16	3.02	#356E9D
#356E9D	16	2.97	#356E9D
#356E9D	16	2.93	#356E9D
#356E9D	16	2.88	#356E9D
#356E9D	16	2.8	#356E9D
#356E9D	16	2.85	#356E9D
#356E9D	16	2.9	#356E9D
#356E9D	16	2.95	#356E9D
#356E9D	17	6.49	#356E9D
#356E9D	17	6.62	#356E9D
#356E9D	17	6.88	#356E9D
#356E9D	17	6.5	#356E9D
#356E9D	17	6.44	#356E9D
#356E9D	17	6.39	#356E9D
#356E9D	17	6.37	#356E9D
#356E9D	17	6.29	#356E9D
#356E9D	17	6.14	#356E9D
#356E9D	17	6.21	#356E9D
#356E9D	17	6.3	#356E9D
#356E9D	17	6.28	#356E9D
#356E9D	18	1.71	#356E9D
#356E9D	18	1.5	#356E9D
#356E9D	18	1.35	#356E9D
#356E9D	18	1.18	#356E9D
#356E9D	18	1.02	#356E9D
#356E9D	18	0.88	#356E9D
#356E9D	18	0.87	#356E9D
#356E9D	18	0.99	#356E9D
#356E9D	18	1.11	#356E9D
#356E9D	18	1.23	#356E9D
#356E9D	18	1.29	#356E9D
#356E9D	18	1.43	#356E9D
#356E9D	19	13.14	#356E9D
#356E9D	19	13.01	#356E9D
#356E9D	19	12.91	#356E9D
#356E9D	19	12.95	#356E9D
#356E9D	19	12.92	#356E9D
#356E9D	19	12.95	#356E9D
#356E9D	19	12.85	#356E9D
#356E9D	19	12.86	#356E9D
#356E9D	19	12.73	#356E9D
#356E9D	19	12.49	#356E9D
#356E9D	19	12.27	#356E9D
#356E9D	19	11.98	#356E9D
#356E9D	20	0.72	#356E9D
#356E9D	20	0.73	#356E9D
#356E9D	20	0.71	#356E9D
#356E9D	20	0.72	#356E9D
#356E9D	20	0.73	#356E9D
#356E9D	20	0.74	#356E9D
#356E9D	20	0.74	#356E9D
#356E9D	20	0.75	#356E9D
#356E9D	20	0.77	#356E9D
#356E9D	20	0.78	#356E9D
#356E9D	20	0.8	#356E9D
#356E9D	20	0.81	#356E9D
#356E9D	21	9.92	#356E9D
#356E9D	21	9.96	#356E9D
#356E9D	21	9.9	#356E9D
#356E9D	21	10.02	#356E9D
#356E9D	21	10.07	#356E9D
#356E9D	21	10.2	#356E9D
#356E9D	21	10.09	#356E9D
#356E9D	21	10.2	#356E9D
#356E9D	21	10.17	#356E9D
#356E9D	21	10.33	#356E9D
#356E9D	21	10.45	#356E9D
#356E9D	21	10.48	#356E9D
#356E9D	22	2.17	#356E9D
#356E9D	22	2.17	#356E9D
#356E9D	22	2.2	#356E9D
#356E9D	22	2.18	#356E9D
#356E9D	22	2.2	#356E9D
#356E9D	22	2.28	#356E9D
#356E9D	22	2.28	#356E9D
#356E9D	22	2.28	#356E9D
#356E9D	22	2.37	#356E9D
#356E9D	22	2.39	#356E9D
#356E9D	22	2.47	#356E9D
#356E9D	22	2.48	#356E9D
#356E9D	23	2.7	#356E9D
#356E9D	23	2.59	#356E9D
#356E9D	23	2.59	#356E9D
#356E9D	23	2.53	#356E9D
#356E9D	23	2.6	#356E9D
#356E9D	23	2.59	#356E9D
#356E9D	23	2.61	#356E9D
#356E9D	23	2.63	#356E9D
#356E9D	23	2.64	#356E9D
#356E9D	23	2.58	#356E9D
#356E9D	23	2.51	#356E9D
#356E9D	23	2.54	#356E9D
#356E9D	24	0.09	#356E9D
#356E9D	24	0.16	#356E9D
#356E9D	24	0.22	#356E9D
#356E9D	24	0.25	#356E9D
#356E9D	24	0.28	#356E9D
#356E9D	24	0.33	#356E9D
#356E9D	24	0.31	#356E9D
#356E9D	24	0.28	#356E9D
#356E9D	24	0.23	#356E9D
#356E9D	24	0.2	#356E9D
#356E9D	24	0.17	#356E9D
#356E9D	24	0.15	#356E9D
#356E9D	25	0.57	#356E9D
#356E9D	25	0.61	#356E9D
#356E9D	25	0.62	#356E9D
#356E9D	25	0.62	#356E9D
#356E9D	25	0.67	#356E9D
#356E9D	25	0.67	#356E9D
#356E9D	25	0.66	#356E9D
#356E9D	25	0.65	#356E9D
#356E9D	25	0.66	#356E9D
#356E9D	25	0.67	#356E9D
#356E9D	25	0.65	#356E9D
#356E9D	25	0.68	#356E9D
#356E9D	26	0	#356E9D
#356E9D	26	0.06	#356E9D
#356E9D	26	0.12	#356E9D
#356E9D	26	0.18	#356E9D
#356E9D	26	0.25	#356E9D
#356E9D	26	0.31	#356E9D
#356E9D	26	0.68	#356E9D
#356E9D	26	0.96	#356E9D
#356E9D	26	1.23	#356E9D
#356E9D	26	1.54	#356E9D
#356E9D	26	1.89	#356E9D
#356E9D	26	2.3	#356E9D
#356E9D	27	0.05	#356E9D
#356E9D	27	0.09	#356E9D
#356E9D	27	0.07	#356E9D
#356E9D	27	0.09	#356E9D
#356E9D	27	0.11	#356E9D
#356E9D	27	0.11	#356E9D
#356E9D	27	0.12	#356E9D
#356E9D	27	0.11	#356E9D
#356E9D	27	0.13	#356E9D
#356E9D	27	0.14	#356E9D
#356E9D	27	0.13	#356E9D
#356E9D	27	0.13	#356E9D
#356E9D	28	1.66	#356E9D
#356E9D	28	1.68	#356E9D
#356E9D	28	1.69	#356E9D
#356E9D	28	1.69	#356E9D
#356E9D	28	1.7	#356E9D
#356E9D	28	1.66	#356E9D
#356E9D	28	1.66	#356E9D
#356E9D	28	1.64	#356E9D
#356E9D	28	1.61	#356E9D
#356E9D	28	1.54	#356E9D
#356E9D	28	1.54	#356E9D
#356E9D	28	1.52	#356E9D
#356E9D	29	3.02	#356E9D
#356E9D	29	2.91	#356E9D
#356E9D	29	2.94	#356E9D
#356E9D	29	2.84	#356E9D
#356E9D	29	2.77	#356E9D
#356E9D	29	2.7	#356E9D
#356E9D	29	2.67	#356E9D
#356E9D	29	2.6	#356E9D
#356E9D	29	2.53	#356E9D
#356E9D	29	2.45	#356E9D
#356E9D	29	2.39	#356E9D
#356E9D	29	2.43	#356E9D
